#{"t_start": 1699569896.4480276, "env_id": "Pendulum-v1"}
r,l,t
-900.198377,200,181.11752
-901.509445,200,181.365884
-775.333517,200,181.60825
-821.00151,200,187.322949
-926.061583,200,187.656274
-761.110646,200,187.901284
-632.348573,200,188.135695
-765.441054,200,188.377404
-802.295639,200,188.651442
-916.908743,200,188.925616
-634.902252,200,189.187904
-748.86263,200,189.430936
-635.870283,200,189.696663
-509.731547,200,195.370236
-846.17017,200,195.627135
-777.710854,200,195.859589
-949.347116,200,196.084759
-765.62831,200,196.33578
-686.719876,200,196.594137
-645.470356,200,196.844678
-617.363511,200,197.07195
-866.602764,200,197.351468
-833.393743,200,197.642503
-729.701843,200,197.895008
-820.579637,200,203.10681
-509.64,200,203.36458
-747.347576,200,203.630971
-920.922616,200,203.865611
-848.6037,200,204.133569
-382.964116,200,204.369004
-516.192011,200,204.603913
-627.464537,200,204.849393
-507.079225,200,205.088295
-768.894216,200,205.338625
-391.287226,200,211.252307
-772.269872,200,211.562343
-628.201472,200,211.817445
-632.816198,200,212.11796
-895.062517,200,212.374958
-545.726859,200,212.637157
-390.157657,200,212.872403
-546.057946,200,213.154356
-630.416581,200,213.440068
-413.896016,200,213.677645
-504.667842,200,218.805583
-255.944207,200,219.099975
-660.926531,200,219.360386
-377.633953,200,219.604036
-376.537537,200,219.836826
-156.056435,200,220.081656
-689.917595,200,220.30978
-380.489153,200,220.54691
-255.305514,200,220.783374
-657.842496,200,221.011701
-379.043439,200,226.229945
-128.166441,200,226.543479
-131.66439,200,226.818925
-258.310832,200,227.131199
-381.123986,200,227.409266
-505.462348,200,227.659086
-2.841517,200,227.930674
-257.86103,200,228.174464
-128.641211,200,228.419324
-127.633237,200,228.672019
-125.140641,200,234.45366
-379.189118,200,234.744888
-130.782288,200,234.99664
-127.301773,200,235.251222
-258.49206,200,235.493126
-420.420832,200,235.76129
-421.359146,200,236.018799
-2.348671,200,236.267084
-128.2709,200,236.521948
-1.454281,200,236.766678
-130.487248,200,237.013947
-250.862437,200,242.389906
-398.708363,200,242.640814
-402.821224,200,242.867934
-550.725418,200,243.104064
-128.293946,200,243.331594
-3.440571,200,243.564371
-128.698953,200,243.819335
-388.173181,200,244.059781
-2.96463,200,244.297733
-474.292315,200,244.526994
-130.989477,200,250.236562
-385.884037,200,250.588733
-126.665656,200,250.890521
-572.458203,200,251.185547
-445.146682,200,251.479388
-385.14914,200,251.772417
-443.79491,200,252.014363
-127.454389,200,252.271735
-258.596338,200,252.52641
-384.614881,200,252.772281
-128.458801,200,258.147854
-3.019078,200,258.429842
-252.430125,200,258.708638
-245.569105,200,259.000617
-2.018831,200,259.284123
-123.247982,200,259.532571
-375.761715,200,259.804111
-290.240318,200,260.049394
-245.398742,200,260.306778
-124.005291,200,260.554974
-122.039316,200,265.868196
-121.739406,200,266.135775
-381.869639,200,266.377774
-125.133149,200,266.613245
-386.042813,200,266.842469
-124.662493,200,267.07126
-246.866244,200,267.303576
-255.7391,200,267.530564
-129.792773,200,267.764938
-1.694871,200,267.996534
-129.258778,200,268.269382
-124.097583,200,274.306671
-1.657551,200,274.602878
-126.254551,200,274.864434
-272.713866,200,275.119988
-121.826576,200,275.408416
-131.843577,200,275.660777
-129.103981,200,275.901871
-126.387491,200,276.181112
-2.009273,200,276.416458
-124.05728,200,276.655215
-128.951072,200,281.697799
-128.67413,200,281.959053
-889.552383,200,282.202849
-124.202385,200,282.438579
-264.541038,200,282.692537
-123.835597,200,282.933291
-378.160179,200,283.163964
-269.931964,200,283.400124
-255.041648,200,283.631162
-768.952032,200,283.859375
-1.455715,200,289.004821
-129.16968,200,289.317474
-273.139104,200,289.591254
-119.363199,200,289.845378
-127.378746,200,290.164768
-3.396006,200,290.435049
-120.037717,200,290.734913
-236.001148,200,291.031759
-123.589018,200,291.335757
-128.714583,200,291.609391
-119.942131,200,297.351067
-121.411932,200,297.666648
-128.359534,200,297.941051
-254.546809,200,298.240207
-253.64561,200,298.539452
-1.473124,200,298.798121
-120.499473,200,299.04641
-129.23629,200,299.370878
-482.453513,200,299.648272
-126.398107,200,299.893758
-125.111935,200,300.132279
-3.497211,200,305.4714
-124.035072,200,305.76778
-122.375952,200,306.015707
-291.59874,200,306.276093
-128.445102,200,306.516495
-124.945455,200,306.762714
-1.095368,200,307.006892
-125.975752,200,307.246575
-121.968703,200,307.489547
-123.37058,200,307.737095
-126.331123,200,313.802
-2.268306,200,314.138546
-127.160916,200,314.43588
-242.811258,200,314.705621
-126.9842,200,315.012235
-122.339765,200,315.273059
-129.706497,200,315.532753
-118.327612,200,315.814718
-123.332237,200,316.056532
-131.332977,200,316.30188
-127.363333,200,322.071299
-239.722589,200,322.354797
-368.811001,200,322.60711
-1.419439,200,322.837168
-415.651399,200,323.069675
-458.560782,200,323.3108
-129.830952,200,323.561574
-130.219664,200,323.830757
-1.237855,200,324.092362
-249.749813,200,324.367785
-128.279157,200,329.93889
-281.963149,200,330.263845
-2.253062,200,330.684466
-352.717397,200,330.978956
-235.741515,200,331.236071
-123.59747,200,331.485679
-1.416984,200,331.72556
-251.102993,200,332.003489
-118.334773,200,332.278946
-376.111834,200,332.529467
-1.798213,200,332.768147
-250.727176,200,338.342332
-124.324484,200,338.690413
-121.646369,200,339.009709
-125.284762,200,339.30636
-241.405294,200,339.600943
-241.842327,200,339.884287
-244.935081,200,340.141443
-127.88769,200,340.401094
-0.886177,200,340.654042
-239.124353,200,340.93943
-241.366134,200,346.508842
-129.249069,200,346.787013
-126.842548,200,347.036222
-236.579542,200,347.292433
-129.445309,200,347.576099
-2.350035,200,347.801723
-449.18472,200,348.060806
-269.489986,200,348.288618
-126.245005,200,348.532903
-3.722842,200,348.760687
-123.905446,200,354.885435
-125.443372,200,355.146267
-1.699545,200,355.383921
-129.253989,200,355.641219
-121.421888,200,355.892288
-121.940163,200,356.203795
-1.405537,200,356.451194
-239.208379,200,356.700109
-255.767694,200,356.947199
-116.667303,200,357.182594
-123.178326,200,362.46783
-124.64797,200,362.746654
-126.839662,200,363.011971
-123.915395,200,363.267399
-131.458142,200,363.501003
